timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584659;0,159813|-0,140061|10,028712;0,000133|-0,000533|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,159214|-0,136469|10,062231;-0,001065|0,000533|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,153229|-0,129287|10,032902;0,000000|0,000133|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,152630|-0,132878|10,030508;-0,000399|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,160412|-0,131083|10,039486;0,000133|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,153827|-0,125097|10,023924;-0,001198|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,148441|-0,126294|10,034100;0,000000|0,000000|-0,001065;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,158616|-0,140659|10,031106;0,000000|0,000000|0,001198;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,149638|-0,138864|10,040085;0,000133|-0,000133|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,164003|-0,137068|10,025121;0,000133|0,000799|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584660;0,150835|-0,132280|10,045471;0,000266|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,162207|-0,134075|10,044873;-0,001065|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,156222|-0,141258|10,028712;0,000799|0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,155025|-0,140061|10,030508;0,000133|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,155623|-0,139462|10,023924;-0,000932|-0,000133|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,146645|-0,128688|10,036493;0,000799|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,153827|-0,135272|10,032902;0,000133|-0,000133|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,149039|-0,134674|10,029909;0,000000|0,000666|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,158616|-0,138864|10,033501;0,000266|0,000266|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,158017|-0,136469|10,022727;0,000266|0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584661;0,159214|-0,134075|10,039486;-0,000533|0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,158616|-0,137068|10,039486;0,000000|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,160412|-0,138265|10,043676;0,000133|-0,000266|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,151433|-0,134075|10,035296;0,000000|0,001065|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,151433|-0,134674|10,030508;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,162207|-0,131681|10,035296;0,000000|0,000000|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,159813|-0,133477|10,031705;0,000533|0,000799|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,150236|-0,137068|10,032902;0,000666|0,000932|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,152630|-0,136469|10,035894;0,000533|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,156222|-0,140061|10,033501;-0,001731|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584662;0,154426|-0,138864|10,028712;0,000399|0,000133|-0,001065;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,155623|-0,129885|10,042479;0,000000|0,000133|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,149638|-0,138265|10,031705;0,000533|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,145448|-0,131681|10,038888;0,001065|0,000266|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,156820|-0,134075|10,046669;-0,000399|0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,158017|-0,145448|10,031705;0,000133|0,000666|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,144849|-0,139462|10,036493;0,000399|-0,000266|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,156222|-0,137068|10,046070;0,000000|0,000266|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,165200|-0,132280|10,026917;0,000000|0,001065|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584663;0,156820|-0,143652|10,041881;0,000000|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
