timestamp,image_path,object,confidence,x1,y1,x2,y2
20250308-134848,detecciones/deteccion_20250308-134848.png,chair,0.5132644772529602,152,244,186,301
20250308-134848,detecciones/deteccion_20250308-134848.png,sports ball,0.35288605093955994,36,207,57,225
20250308-134848,detecciones/deteccion_20250308-134848.png,bench,0.3270411491394043,61,247,137,319
20250308-134849,detecciones/deteccion_20250308-134849.png,sports ball,0.26835453510284424,64,207,86,226
20250308-134849,detecciones/deteccion_20250308-134849.png,chair,0.34302711486816406,363,241,395,298
20250308-134849,detecciones/deteccion_20250308-134849.png,bench,0.3690844774246216,441,267,474,297
20250308-134850,detecciones/deteccion_20250308-134850.png,chair,0.38555294275283813,535,240,573,298
20250308-134850,detecciones/deteccion_20250308-134850.png,bench,0.391884446144104,0,273,62,365
20250308-134850,detecciones/deteccion_20250308-134850.png,sports ball,0.4138501286506653,357,206,374,224
20250308-134850,detecciones/deteccion_20250308-134850.png,bench,0.3966946005821228,0,267,79,360
20250308-134850,detecciones/deteccion_20250308-134850.png,bench,0.34952619671821594,0,266,96,352
20250308-134850,detecciones/deteccion_20250308-134850.png,sports ball,0.34547486901283264,371,206,389,224
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.7279353141784668,0,264,111,359
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.2822068929672241,604,269,639,300
20250308-134851,detecciones/deteccion_20250308-134851.png,sports ball,0.2538289725780487,385,206,404,223
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.7192776203155518,0,265,125,354
20250308-134851,detecciones/deteccion_20250308-134851.png,sports ball,0.263735294342041,398,205,416,224
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.3322535753250122,1,265,140,362
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.37164297699928284,17,265,153,352
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.27552148699760437,35,264,165,350
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.41310688853263855,472,245,544,310
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.33922988176345825,64,262,189,349
20250308-134851,detecciones/deteccion_20250308-134851.png,bench,0.27680936455726624,74,261,200,349
20250308-134852,detecciones/deteccion_20250308-134852.png,bench,0.3169468641281128,99,262,220,345
20250308-134852,detecciones/deteccion_20250308-134852.png,sports ball,0.2565515637397766,499,202,520,221
20250308-134852,detecciones/deteccion_20250308-134852.png,chair,0.26993700861930847,576,241,624,313
20250308-134853,detecciones/deteccion_20250308-134853.png,chair,0.40037021040916443,609,240,639,316
20250308-134853,detecciones/deteccion_20250308-134853.png,bench,0.36867064237594604,609,240,639,316
20250308-134853,detecciones/deteccion_20250308-134853.png,bench,0.30181434750556946,0,262,314,384
20250308-134853,detecciones/deteccion_20250308-134853.png,bench,0.2735932767391205,0,262,320,384
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.32287490367889404,0,260,323,385
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.3635142743587494,0,261,327,384
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.27022936940193176,1,260,328,387
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.40370452404022217,1,260,330,382
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.4737181067466736,1,261,329,383
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.42575836181640625,1,260,331,383
20250308-134854,detecciones/deteccion_20250308-134854.png,bench,0.26182126998901367,214,260,331,343
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.4050103425979614,1,260,331,384
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.3852500021457672,1,260,331,383
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.41964903473854065,0,260,330,384
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.4632507264614105,0,260,330,384
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.45253485441207886,0,260,331,383
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.4534451961517334,0,260,331,386
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.3973173201084137,0,261,328,385
20250308-134855,detecciones/deteccion_20250308-134855.png,bench,0.5517635345458984,0,260,333,387
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.48688262701034546,0,261,333,387
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.4954129755496979,0,260,332,388
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.4654272794723511,0,260,332,388
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.3788917064666748,0,260,332,390
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.42449140548706055,0,260,332,391
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.3521907329559326,0,259,332,392
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.39576631784439087,0,260,332,392
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.29812678694725037,210,260,332,344
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.3449603021144867,0,261,331,390
20250308-134856,detecciones/deteccion_20250308-134856.png,bench,0.32707884907722473,210,260,332,346
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.30553749203681946,0,261,331,390
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.2831772267818451,0,261,332,390
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.3115696310997009,0,261,332,390
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.3211860656738281,0,261,332,390
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.29896071553230286,200,260,331,343
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.34156471490859985,0,261,332,391
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.31453296542167664,211,260,331,344
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.2917337417602539,1,261,331,392
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.3078395426273346,1,261,332,392
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.34548699855804443,1,261,332,392
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.31296196579933167,208,260,331,345
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.4039362072944641,207,260,331,346
20250308-134857,detecciones/deteccion_20250308-134857.png,bench,0.32496753334999084,1,261,331,392
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.41107267141342163,206,260,331,346
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.3597579300403595,1,261,331,393
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.5015425086021423,204,260,331,348
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.2800822854042053,1,261,331,392
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.5358972549438477,201,260,332,349
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.25543904304504395,0,261,331,391
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.5560504198074341,203,260,332,348
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.4964701533317566,205,260,332,347
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.5691449642181396,206,260,332,348
20250308-134858,detecciones/deteccion_20250308-134858.png,bench,0.5145869851112366,207,260,332,350
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.6493362784385681,208,260,332,350
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.2542353868484497,0,263,278,392
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.5673555135726929,209,260,332,349
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.2782820761203766,0,264,291,391
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.5192766189575195,208,260,332,349
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.3613572418689728,0,263,316,395
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.3901994526386261,208,260,332,349
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.2759837508201599,0,263,326,395
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.453278124332428,208,260,332,349
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.38973718881607056,209,261,332,350
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.5854438543319702,209,261,332,348
20250308-134859,detecciones/deteccion_20250308-134859.png,bench,0.2566099762916565,0,264,221,391
20250308-134900,detecciones/deteccion_20250308-134900.png,bench,0.4412913918495178,208,261,332,348
20250308-134900,detecciones/deteccion_20250308-134900.png,bench,0.38761448860168457,206,261,332,349
20250308-134900,detecciones/deteccion_20250308-134900.png,bench,0.28734636306762695,204,262,332,349
20250308-134900,detecciones/deteccion_20250308-134900.png,bench,0.2507246434688568,1,262,332,404
20250308-134900,detecciones/deteccion_20250308-134900.png,bench,0.44199061393737793,203,262,332,349
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.4451088309288025,199,262,333,349
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.39634692668914795,199,261,333,351
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.48227593302726746,203,261,333,351
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.3884103298187256,205,261,333,351
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.44087666273117065,203,261,332,353
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.3785581588745117,202,262,332,353
20250308-134901,detecciones/deteccion_20250308-134901.png,bench,0.37872573733329773,203,262,332,351
20250308-134902,detecciones/deteccion_20250308-134902.png,bench,0.4888777434825897,202,261,332,353
20250308-134902,detecciones/deteccion_20250308-134902.png,bench,0.387445867061615,202,262,332,352
20250308-134902,detecciones/deteccion_20250308-134902.png,bench,0.2910781800746918,203,262,333,349
20250308-134902,detecciones/deteccion_20250308-134902.png,bench,0.2978365123271942,201,262,332,351
20250308-134903,detecciones/deteccion_20250308-134903.png,bench,0.2643249034881592,203,262,332,352
20250308-134903,detecciones/deteccion_20250308-134903.png,bench,0.3265581429004669,202,262,332,352
20250308-134903,detecciones/deteccion_20250308-134903.png,bench,0.34190306067466736,202,262,332,353
20250308-134903,detecciones/deteccion_20250308-134903.png,bench,0.3734932541847229,203,261,332,351
